Names,Reviews,Release Date,Genre
Half-Life 2,96%,"Nov 16, 2004",FPS
Portal,97%,"Oct 10, 2007",Puzzle
Left 4 Dead 2,96%,"Nov 16, 2009",Zombies
Garry's Mod,96%,"Nov 29, 2006",Sandbox
,,,
Sid Meier's Civilization® V,95%,"Sep 21, 2010",Turn-Based Strategy
Sherlock Holmes versus Jack the Ripper,75%,"Dec 23, 2009",Adventure
,,,
Braid,94%,"Apr 10, 2009",Puzzle Platformer
The Secret of Monkey Island: Special Edition,95%,"Jul 15, 2009",Point & Click
Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,94%,"Jul 7, 2010",Point & Click
Batman: Arkham Asylum Game of the Year Edition,95%,"Mar 26, 2010",Action
Trine 2: Complete Story,95%,"Jun 6, 2013",Puzzle Platformer
Machinarium,95%,"Oct 16, 2009",Point & Click
Samorost 2,82%,"Dec 10, 2009",Adventure
Magicka,90%,"Jan 25, 2011",Comedy
LIMBO,93%,"Aug 2, 2011",Puzzle Platformer
Terraria,97%,"May 16, 2011",Open World Survival Craft
Bastion,95%,"Aug 16, 2011",Great Soundtrack
Alan Wake,90%,"Feb 16, 2012",Action
,,,
Batman: Arkham City - Game of the Year Edition,94%,"Sep 7, 2012",Action
Toki Tori 2+,86%,"Jul 11, 2013",Indie
Castle Crashers®,96%,"Sep 26, 2012",Co-op
,,,
Saints Row IV,91%,"Aug 19, 2013",Open World
To the Moon,96%,"Nov 1, 2011",Story Rich
SpeedRunners,94%,"Apr 19, 2016",Multiplayer
,,,
Botanicula,96%,"May 7, 2012",Point & Click
,,,
FTL: Faster Than Light,96%,"Sep 14, 2012",Roguelike
South Park™: The Stick of Truth™,97%,"Mar 3, 2014",RPG
,,,
,,,
Guacamelee! Gold Edition,93%,"Aug 8, 2013",Metroidvania
Antichamber,95%,"Jan 31, 2013",Puzzle
Grim Dawn,91%,"Feb 25, 2016",Action RPG
The Journey Down: Chapter One,86%,"Jan 9, 2013",Adventure
Kerbal Space Program,92%,"Apr 27, 2015",Space
Thomas Was Alone,93%,"Nov 12, 2012",Platformer
Little Inferno,94%,"Nov 19, 2012",Casual
Brothers - A Tale of Two Sons,94%,"Sep 3, 2013",Adventure
Euro Truck Simulator 2,,,
,,,
Wreckfest,79%,"Jun 14, 2018",Racing
N++ (NPLUSPLUS),96%,"Aug 25, 2016",Precision Platformer
Universe Sandbox ²,94%,"Aug 24, 2015",Early Access
The Swapper,94%,"May 30, 2013",Puzzle
Kentucky Route Zero,83%,"Feb 22, 2013",Adventure
,,,
,,,
Prison Architect,92%,"Oct 6, 2015",Simulation
,,,
,,,
The White Laboratory,69%,"Mar 28, 2019",Indie
Transistor,94%,"May 20, 2014",Great Soundtrack
Outlast,96%,"Sep 4, 2013",Horror
Magicka 2,79%,"May 26, 2015",Magic
BattleBlock Theater®,97%,"May 15, 2014",Comedy
"Papers, Please",96%,"Aug 8, 2013",Indie
,,,
,,,
Spelunky,91%,"Aug 8, 2013",Action Roguelike
Quadrilateral Cowboy,92%,"Jul 25, 2016",Indie
Getting Over It with Bennett Foddy,80%,"Dec 6, 2017",Difficult
